id,created_at,text
905979034093346816,2017-09-08 02:20:08,b'En Latinoam\xc3\xa9rica la corrupci\xc3\xb3n no solo es cosa de todos los d\xc3\xadas\xe2\x80\xa6\nes el peor de nuestros problemas \xf0\x9f\x98\x94 https://t.co/HKw7q7MUik'
905870290286108672,2017-09-07 19:08:02,"b'La pol\xc3\xa9mica contin\xc3\xbaa: #TeamBarba o #TeamRasurado\n\nSeg\xc3\xban estudios ambos tienen sus ventajas,\npero en gustos no hay n\xe2\x80\xa6 https://t.co/UQKuvsakGc'"
905854512958586882,2017-09-07 18:05:20,"b'Hoyos Negros: lo que sab\xc3\xadas, lo que sospechabas y lo que no imaginabas \xe2\x9a\xab\xef\xb8\x8f \xf0\x9f\x98\xb1 https://t.co/XAtf4Th1Fw'"
905817473949290496,2017-09-07 15:38:09,b'RT @pictoline: De M\xc3\xa9xico para el mundo:\nLa historia del (casi) an\xc3\xb3nimo h\xc3\xa9roe detr\xc3\xa1s de los nachos \xf0\x9f\xa7\x80 \xf0\x9f\x8c\xb6 https://t.co/NcvklWnkjG'
905630081560616961,2017-09-07 03:13:31,b'De M\xc3\xa9xico para el mundo:\nLa historia del (casi) an\xc3\xb3nimo h\xc3\xa9roe detr\xc3\xa1s de los nachos \xf0\x9f\xa7\x80 \xf0\x9f\x8c\xb6 https://t.co/NcvklWnkjG'
905574066295365632,2017-09-06 23:30:56,"b'RT @pictoline: \xe2\x80\x9cLos toros odian el color rojo\xe2\x80\x9d\n""Las avestruces entierran su cabeza""\n\nAlgunas creencias sobre los animales no son (nada) cie\xe2\x80\xa6'"
905522332285902848,2017-09-06 20:05:22,b'#Irma alcanz\xc3\xb3 la categor\xc3\xada 5 y est\xc3\xa1 golpeando a las islas del Caribe\n\n\xc2\xbfPero qu\xc3\xa9 significan las categor\xc3\xadas de los hu\xe2\x80\xa6 https://t.co/nKsCjnlUSt'
905496359595163648,2017-09-06 18:22:10,"b'\xe2\x80\x9cLos toros odian el color rojo\xe2\x80\x9d\n""Las avestruces entierran su cabeza""\n\nAlgunas creencias sobre los animales no son (\xe2\x80\xa6 https://t.co/eJA5GSqirn'"
905453248433283073,2017-09-06 15:30:51,"b'RT @pictoline: Hace 25 a\xc3\xb1os el mundo conoci\xc3\xb3 a una de las mejores versiones del Caballero de la Noche \xf0\x9f\xa6\x87\n\nGracias por tanto, Batman: la seri\xe2\x80\xa6'"
905247983708495872,2017-09-06 01:55:12,"b'Hace 25 a\xc3\xb1os el mundo conoci\xc3\xb3 a una de las mejores versiones del Caballero de la Noche \xf0\x9f\xa6\x87\n\nGracias por tanto, Batman\xe2\x80\xa6 https://t.co/tXnrzIvpzk'"
905220855336022016,2017-09-06 00:07:24,"b'\xe2\x80\x93Como te iba diciendo, yo creo qu\xe2\x80\x93\xc2\xa1ARDILLA!\n\nAlgunas personas se distraen m\xc3\xa1s f\xc3\xa1cil que otras\npero no es tan malo c\xe2\x80\xa6 https://t.co/xLq3661G2J'"
905212017325301760,2017-09-05 23:32:17,"b'RT @pictoline: Trump suspendi\xc3\xb3 #DACA, el programa que proteg\xc3\xada a miles de Dreamers en EUA\n\n\xc2\xbfQu\xc3\xa9 es #DACA? \xc2\xbfQui\xc3\xa9nes son los Dreamers? Respue\xe2\x80\xa6'"
